observation,PCE,PCEDG,PCES,PCEF,GDP_Growth,CCI
"Saturday, January 1, 2022",17106,2066.9,11299.1,1352,-1,113.8
"Tuesday, February 1, 2022",17347.2,2084.5,11426.5,1361,-1,110.5
"Tuesday, March 1, 2022",17490,2118,11537.2,1372,-1,107.2
"Friday, April 1, 2022",17574.5,2062.6,11619.1,1385.8,0.6,107.3
"Sunday, May 1, 2022",17755.2,2068.5,11721.1,1404.1,0.6,106.4
"Wednesday, June 1, 2022",17770.1,2072.3,11804.4,1398.8,0.6,98.7
"Friday, July 1, 2022",17916.5,2101.8,11929.8,1411,2.9,95.7
"Monday, August 1, 2022",17992.8,2092,12011.9,1419.2,2.9,103.2
"Thursday, September 1, 2022",18109.6,2108.2,12080.4,1425.6,2.9,108
"Saturday, October 1, 2022",18108,2036.4,12163.8,1426.6,2.8,102.5
"Tuesday, November 1, 2022",18116.5,2024.1,12231.5,1420.6,2.8,100.2
"Thursday, December 1, 2022",18449.1,2165.6,12354.7,1429.5,2.8,108.3
"Sunday, January 1, 2023",18491.6,2138.5,12402.5,1437.7,2.9,107.1
"Wednesday, February 1, 2023",18520.4,2120.4,12498.7,1418.5,2.9,102.9
"Wednesday, March 1, 2023",18641.8,2146.6,12554.7,1427.9,2.9,104.2
"Saturday, April 1, 2023",18664.6,2139.1,12600.1,1431,2.5,101.3
"Monday, May 1, 2023",18773,2136.7,12686.3,1433.9,2.5,102.3
"Thursday, June 1, 2023",18884.2,2151.1,12773.7,1438.7,2.5,109.7
"Saturday, July 1, 2023",18953.3,2150.3,12794,1444.4,4.7,117
"Tuesday, August 1, 2023",19048.1,2145.7,12868.1,1443.7,4.7,106.1
"Friday, September 1, 2023",19109.4,2134.1,12935.2,1449.3,4.7,103
"Sunday, October 1, 2023",19178.9,2125,13028.8,1453.4,3.4,102.6
"Wednesday, November 1, 2023",19283.5,2139.4,13113,1451.4,3.4,102
"Friday, December 1, 2023",19303.3,2106,13208.2,1450.4,3.4,110.7
"Monday, January 1, 2024",19446.5,2130.9,13317.6,1454.8,0.8,114.8
"Thursday, February 1, 2024",19581.8,2142.1,13396.7,1465.7,0.8,106.7
"Friday, March 1, 2024",19665.7,2140.6,13465.6,1470.5,0.8,104.7
"Monday, April 1, 2024",19758,2158.8,13521.7,1470.6,3.6,97
"Wednesday, May 1, 2024",19844.5,2156.2,13607.9,1475,3.6,102
"Saturday, June 1, 2024",19949.5,2181.2,13664.6,1484.8,3.6,100.4
"Monday, July 1, 2024",20001.3,2170.9,13741.8,1479.2,3.3,100.3
"Thursday, August 1, 2024",20147.6,2199.7,13817.4,1494.7,3.3,103.3
"Sunday, September 1, 2024",20226,2210.1,13891.4,1499.5,3.3,98.7
"Tuesday, October 1, 2024",20313.6,2246.5,13942.9,1497.8,1.9,108.7
"Friday, November 1, 2024",20514.3,2294.1,14038,1511.7,1.9,111.7
"Sunday, December 1, 2024",20462.2,2198,14079.1,1513.8,1.9,104.7
"Wednesday, January 1, 2025",20519.8,2209.2,14101.4,1518.8,-0.6,104.1
"Saturday, February 1, 2025",20683,2300.2,14187.5,1520.8,-0.6,98.3
"Saturday, March 1, 2025",20746.4,2296.6,14258.6,1519.5,-0.6,92.9
"Tuesday, April 1, 2025",20755,2247,14317.8,1518.3,3.8,86
"Thursday, May 1, 2025",20868.4,2253.6,14380,1527.7,3.8,98
"Sunday, June 1, 2025",21007.3,2280.3,14485.7,1533.8,3.8,93
"Tuesday, July 1, 2025",21123.8,2281.8,14568.2,1541.6,4.4,97.2
"Friday, August 1, 2025",21202.4,2269.8,14642.7,1538.7,4.4,97.4
"Monday, September 1, 2025",21288.1,2271.4,14727,1542.1,4.4,94.2
"Wednesday, October 1, 2025",21356,2289,14763,1540.6,0.7,94.6
"Saturday, November 1, 2025",21445.9,2288.1,14850.7,1543.4,0.7,88.7
"Monday, December 1, 2025",21511.8,2265.3,14959.5,1549.1,0.7,89.1
